index,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,9_0,9_1,9_2,9_3,9_4,9_5,9_6,9_7,10_0,10_1,10_2,10_3,10_4,10_5,10_6,10_7,11_0,11_1,11_2,11_3,11_4,11_5,11_6,11_7,12_0,12_1,12_2,12_3,12_4,12_5,12_6,12_7,13_0,13_1,13_2,13_3,13_4,13_5,13_6,13_7,14_0,14_1,14_2,14_3,14_4,14_5,14_6,14_7,15_0,15_1,15_2,15_3,15_4,15_5,15_6,15_7,16_0,16_1,16_2,16_3,16_4,16_5,16_6,16_7,17_0,17_1,17_2,17_3,17_4,17_5,17_6,17_7,18_0,18_1,18_2,18_3,18_4,18_5,18_6,18_7,19_0,19_1,19_2,19_3,19_4,19_5,19_6,19_7,20_0,20_1,20_2,20_3,20_4,20_5,20_6,20_7,21_0,21_1,21_2,21_3,21_4,21_5,21_6,21_7,22_0,22_1,22_2,22_3,22_4,22_5,22_6,22_7,23_0,23_1,23_2,23_3,23_4,23_5,23_6,23_7
Transport|Total,1.2878157,1.5085692,3.441304,3.3393066,3.7323534,4.413306,3.4228141,2.1372724,1.2878157,1.5085692,3.441304,3.3393066,3.7323534,4.413306,3.4228141,2.1372724,1.2879859,1.5160491,3.5127819,3.4074066,3.8134682,4.516969,3.4936798,2.1655703,1.2879859,1.5160491,3.5127819,3.4074066,3.8134682,4.516969,3.4936798,2.1655703,1.288921,1.5571585,3.9056232,3.7816856,4.259277,5.0867023,3.883156,2.3210952,1.288921,1.5571585,3.9056232,3.7816856,4.259277,5.0867023,3.883156,2.3210952,1.2886828,1.5466866,3.8055542,3.6863458,4.1457157,4.9415736,3.7839444,2.2814784,1.2886828,1.5466866,3.8055542,3.6863458,4.1457157,4.9415736,3.7839444,2.2814784,1.2889184,1.5570388,3.9044797,3.780596,4.257979,5.085044,3.8820221,2.3206427,1.2889184,1.5570388,3.9044797,3.780596,4.257979,5.085044,3.8820221,2.3206427,1.2889374,1.5578765,3.912485,3.7882235,4.267064,5.096654,3.8899586,2.3238118,1.2889374,1.5578765,3.912485,3.7882235,4.267064,5.096654,3.8899586,2.3238118,1.2891647,1.5678695,4.0079794,3.8792055,4.3754334,5.235148,3.9846356,2.3616178,1.2891647,1.5678695,4.0079794,3.8792055,4.3754334,5.235148,3.9846356,2.3616178,1.2886637,1.5458488,3.7975485,3.6787183,4.136631,4.9299636,3.776008,2.2783089,1.2886637,1.5458488,3.7975485,3.6787183,4.136631,4.9299636,3.776008,2.2783089,1.2889034,1.5563805,3.8981893,3.7746036,4.2508407,5.0759215,3.875786,2.3181524,1.2889034,1.5563805,3.8981893,3.7746036,4.2508407,5.0759215,3.875786,2.3181524,1.2890652,1.5635014,3.9662364,3.8394349,4.3280625,5.1746087,3.94325,2.345092,1.2890652,1.5635014,3.9662364,3.8394349,4.3280625,5.1746087,3.94325,2.345092,1.2887195,1.5483023,3.8209937,3.7010548,4.1632366,4.963965,3.7992513,2.2875907,1.2887195,1.5483023,3.8209937,3.7010548,4.1632366,4.963965,3.7992513,2.2875907,1.2886556,1.5454899,3.7941177,3.6754491,4.132737,4.9249873,3.7726061,2.2769506,1.2886556,1.5454899,3.7941177,3.6754491,4.132737,4.9249873,3.7726061,2.2769506
Transport|Hydrogen,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616,0.54009616
Transport|Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transport|Liquid petroleum products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transport|Electricity,0.74771965,0.96847314,2.9012074,2.79921,3.192257,3.8732104,2.882718,1.5971762,0.74771965,0.96847314,2.9012074,2.79921,3.192257,3.8732104,2.882718,1.5971762,0.74788976,0.97595304,2.9726853,2.8673105,3.2733722,3.9768739,2.9535832,1.6254741,0.74788976,0.97595304,2.9726853,2.8673105,3.2733722,3.9768739,2.9535832,1.6254741,0.7488249,1.0170624,3.3655267,3.2415895,3.7191806,4.546606,3.3430595,1.780999,0.7488249,1.0170624,3.3655267,3.2415895,3.7191806,4.546606,3.3430595,1.780999,0.74858665,1.0065906,3.265458,3.1462493,3.60562,4.401478,3.2438478,1.7413821,0.74858665,1.0065906,3.265458,3.1462493,3.60562,4.401478,3.2438478,1.7413821,0.7488222,1.0169427,3.3643832,3.2405,3.717883,4.5449476,3.341926,1.7805463,0.7488222,1.0169427,3.3643832,3.2405,3.717883,4.5449476,3.341926,1.7805463,0.7488412,1.0177804,3.3723888,3.2481275,3.7269678,4.5565577,3.3498626,1.7837155,0.7488412,1.0177804,3.3723888,3.2481275,3.7269678,4.5565577,3.3498626,1.7837155,0.74906856,1.0277735,3.467883,3.3391094,3.8353376,4.6950517,3.444539,1.8215216,0.74906856,1.0277735,3.467883,3.3391094,3.8353376,4.6950517,3.444539,1.8215216,0.74856764,1.0057528,3.2574525,3.1386218,3.5965347,4.389868,3.2359114,1.7382127,0.74856764,1.0057528,3.2574525,3.1386218,3.5965347,4.389868,3.2359114,1.7382127,0.7488072,1.0162845,3.3580928,3.234507,3.7107449,4.5358253,3.3356895,1.7780561,0.7488072,1.0162845,3.3580928,3.234507,3.7107449,4.5358253,3.3356895,1.7780561,0.7489692,1.0234053,3.4261398,3.2993388,3.7879667,4.6345124,3.4031534,1.8049957,0.7489692,1.0234053,3.4261398,3.2993388,3.7879667,4.6345124,3.4031534,1.8049957,0.74862343,1.0082062,3.2808976,3.1609588,3.6231408,4.423869,3.2591548,1.7474943,0.74862343,1.0082062,3.2808976,3.1609588,3.6231408,4.423869,3.2591548,1.7474943,0.7485595,1.0053937,3.2540216,3.135353,3.5926409,4.384892,3.2325096,1.7368544,0.7485595,1.0053937,3.2540216,3.135353,3.5926409,4.384892,3.2325096,1.7368544
Heating|Total,8.594253,8.594253,8.594253,8.594253,8.657765,8.594253,8.594253,8.594253,7.1852307,7.1299963,8.17863,7.6837873,6.421077,5.2429476,5.8917217,6.8706064,5.9887037,6.3898067,8.041886,6.9626203,5.8464007,6.281441,5.843101,6.091622,8.17863,8.123228,8.17863,6.793164,6.5969863,5.2374334,6.136907,6.933332,3.8758957,4.1897097,5.951312,4.1617517,3.3734186,3.7255037,4.114002,4.0638976,2.7121186,4.81002,6.8329244,6.8851266,4.9554563,3.3867378,3.0908072,3.8176162,6.9593434,7.2856307,8.119253,5.1777496,7.376271,5.062318,4.5041237,4.8824697,4.655796,6.781274,7.1697426,6.993644,7.0405846,4.2638726,5.627023,7.046121,3.8993843,5.7996473,5.7975674,3.0593088,4.4631824,1.653755,2.6483934,4.4394355,1.5166941,2.2415655,4.6434455,3.2661524,3.9803166,1.8058956,0.8229401,1.4497261,0.6149131,0.61852664,1.2708725,3.5628722,1.3674009,1.743645,1.4090955,0.8856137,0.6149131,0.6149131,1.9428291,2.727251,2.195017,1.9274915,1.0612676,0.70145047,0.6149131,0.7897054,1.7335091,3.6315718,1.3277961,1.1277413,1.149731,0.7056651,0.6149131,0.6149131,1.0305688,2.6977534,1.8228542,1.692049,0.8937092,1.0671548,0.6325036,0.6149131,1.0718149,5.6702523,1.489852,0.9730016,1.049984,0.6864798,0.6149131,0.6149131,0.8570117,3.302612,3.7218516,0.93065464,1.3124417,1.0759599,0.6149131,0.6149131,0.9544502,1.5446225,2.5872064,1.1927139,0.9669253,0.6149131,1.3071413,1.8655574,1.9203088,3.5213487,3.1445005,2.0485702,1.526367,1.3071413,3.0345938,2.9308197,5.230776,2.9760237,5.3754387,2.5307648,2.4399414,3.4069197,3.8862422,3.5022652,3.8661187,5.2283554,2.7094042,3.0014024,2.3536556,1.6915853,3.9323843,3.6844838,5.105969,6.61438,4.4993563,4.482482,3.9524739,3.867757,5.7313375,6.662763,7.7796817,6.6767497,6.568909,5.8672066,5.498233,5.6726313,6.484429,7.361913,8.099577,7.0151596,6.9471903,6.7563787,6.03822,6.673701,7.7652364,8.086057,8.17863,8.143373,7.2637157,7.393951,7.5104904,7.5286393
Heating|Biomass,2.3308175,2.3308175,2.3308175,2.3308175,2.3308175,2.3308175,2.3308175,2.3308175,1.9939164,1.8295283,2.3308175,1.9760207,1.2495204,0.5074152,1.4212842,1.5360867,1.4486467,1.5845108,2.1896653,1.7591555,1.0583086,1.3794924,1.4048315,1.4739966,2.3308175,2.2754157,2.3308175,0.9699762,0,0.6872328,1.5042524,1.6558585,0.7391488,0.84534043,1.0895709,0.46567246,0.48682773,0.545467,0.81972176,0.80276674,1.0205332,0.58985436,1.7397778,0.17881572,0,0,0.108227104,0.7243373,1.8332356,2.3277216,2.2714415,0.8337303,0.51282793,0.43367568,0.95664465,1.0797635,1.7693511,1.4854254,1.8542088,0.57554936,0,0,1.518492,1.9987004,1.8460919,1.2087995,1.6923543,0,0,0,0.6930191,1.29418,0.901781,0,1.2933898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014364917,0,0.038981512,0,0,0,0,0.15799603,0.020088425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03102142,0,0,0,0,0,0,0,0,0,0.2625085,0,0,0,0,0,0,0.7509118,0.23195295,1.2574973,0,0,0,0,0.580452,0.74264985,0.8239622,1.0364184,0.16093944,0.023349153,0.09974455,0.22403795,0,0.7896282,0.5457312,1.330395,0,0.6462247,0.9229574,0.7698504,0.73639476,1.3670118,1.682197,2.0601509,1.5800325,1.6504377,1.4129885,1.2881316,1.3471463,1.61653,1.9187825,2.24661,1.7922205,1.3625404,1.6586043,1.4708577,1.653863,2.3308175,2.238245,2.3308175,2.2888258,1.7516087,1.9296236,1.6626781,1.6808268
Heating|Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heating|Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heating|Liquid petroleum products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
